customer_id,age,gender,subscription_type,monthly_charges,tenure_in_months,login_frequency,last_login_days,watch_time,payment_failures,customer_support_calls,churn
1001,56,Female,Basic,12.13,55,17,0,73.1,0,2,0
1002,69,Male,Basic,11.64,8,13,8,1.3,1,3,0
1003,46,Female,Premium,27.25,25,18,9,51.2,2,3,0
1004,32,Male,Standard,21.05,18,18,13,1.7,0,3,1
1005,60,Male,Standard,20.3,21,22,9,8.2,0,1,1
1006,25,Female,Basic,10.51,12,15,17,28.8,0,1,0
1007,38,Female,Standard,21.5,8,16,9,30.0,0,2,0
1008,56,Female,Premium,36.32,1,18,19,25.9,2,1,1
1009,36,Male,Premium,36.73,32,17,1,0.8,0,2,0
1010,40,Female,Standard,24.14,32,10,4,2.9,0,2,0
1011,28,Male,Basic,12.04,26,19,35,55.0,1,0,1
1012,28,Female,Basic,14.76,24,16,8,1.7,1,0,1
1013,41,Female,Basic,14.32,6,13,14,1.6,1,0,1
1014,70,Female,Basic,11.47,1,13,0,36.1,0,1,0
1015,53,Male,Basic,10.79,39,10,14,20.5,0,0,1
1016,57,Female,Basic,12.17,16,16,8,8.7,1,0,0
1017,41,Female,Basic,12.0,8,17,1,3.6,1,0,1
1018,20,Male,Premium,34.05,2,11,0,43.1,0,1,0
1019,39,Male,Standard,21.24,1,11,2,89.4,0,0,0
1020,70,Female,Premium,36.49,10,20,17,1.0,0,5,1
1021,19,Female,Standard,20.58,39,13,7,16.2,0,3,0
1022,41,Female,Basic,10.51,60,15,17,6.1,3,1,1
1023,61,Male,Standard,23.71,54,20,4,35.7,0,3,0
1024,47,Male,Basic,11.54,60,17,19,8.5,0,1,1
1025,55,Male,Standard,24.73,57,11,4,25.1,0,2,0
1026,19,Male,Basic,10.58,17,17,1,15.5,0,1,0
1027,38,Female,Premium,39.41,5,17,1,15.6,1,4,0
1028,50,Male,Basic,10.45,38,17,35,39.0,0,0,0
1029,29,Male,Basic,11.15,5,15,2,12.7,0,1,0
1030,39,Male,Premium,26.64,7,16,1,37.4,0,1,0
1031,61,Female,Basic,13.52,6,10,0,9.0,2,2,1
1032,42,Female,Standard,23.64,17,15,2,3.8,1,3,1
1033,66,Male,Standard,19.9,9,20,15,12.2,0,0,1
1034,44,Male,Premium,38.99,4,17,5,13.8,0,3,0
1035,59,Female,Premium,34.25,14,17,7,13.0,1,3,0
1036,45,Female,Premium,34.81,49,16,17,33.0,0,2,0
1037,33,Female,Basic,14.22,20,13,5,16.6,0,2,0
1038,32,Female,Premium,30.15,50,9,12,43.9,0,2,0
1039,64,Female,Standard,19.18,5,13,2,14.4,1,2,0
1040,68,Female,Standard,24.14,4,10,26,5.1,2,2,1
1041,61,Female,Basic,14.49,20,19,0,2.8,0,0,0
1042,69,Female,Standard,24.78,14,12,9,40.6,0,0,0
1043,20,Male,Premium,38.62,25,17,7,1.2,0,0,1
1044,54,Male,Premium,27.77,37,17,1,2.5,0,1,0
1045,68,Male,Standard,23.4,33,11,3,1.3,0,1,0
1046,24,Male,Basic,12.04,68,19,2,11.0,1,1,0
1047,38,Male,Basic,14.94,12,15,0,15.2,1,0,0
1048,26,Male,Premium,32.6,5,11,6,0.4,0,1,1
1049,56,Female,Standard,20.97,19,15,35,14.5,0,2,0
1050,35,Female,Standard,20.76,2,14,5,10.0,0,0,0
1051,21,Male,Basic,11.6,8,13,5,29.7,0,2,0
